Country,Sex,Year,Value 
Armenia,Sex: Total,2018,45.97
Armenia,Sex: Male,2018,48.44
Armenia,Sex: Female,2018,42.91
Armenia,Sex: Total,2017,42.75
Armenia,Sex: Male,2017,45.39
Armenia,Sex: Female,2017,39.86
Armenia,Sex: Total,2016,42.58
Armenia,Sex: Male,2016,45.39
Armenia,Sex: Female,2016,39.45
Armenia,Sex: Total,2015,43.8
Armenia,Sex: Male,2015,46.96
Armenia,Sex: Female,2015,40.2
Armenia,Sex: Total,2014,45.23
Armenia,Sex: Male,2014,49.3
Armenia,Sex: Female,2014,40.52
Armenia,Sex: Total,2013,45.77
Armenia,Sex: Male,2013,48.14
Armenia,Sex: Female,2013,42.63
Armenia,Sex: Total,2012,45.61
Armenia,Sex: Male,2012,48.42
Armenia,Sex: Female,2012,42.23
Armenia,Sex: Total,2011,45.37
Armenia,Sex: Male,2011,48.29
Armenia,Sex: Female,2011,41.71
Armenia,Sex: Total,2010,46.43
Armenia,Sex: Male,2010,49.48
Armenia,Sex: Female,2010,41.85
Armenia,Sex: Total,2009,45.87
Armenia,Sex: Male,2009,48.9
Armenia,Sex: Female,2009,41.81
Armenia,Sex: Total,2008,46.56
Armenia,Sex: Male,2008,49.29
Armenia,Sex: Female,2008,42.96
Armenia,Sex: Total,2007,45.1
Armenia,Sex: Male,2007,47.86
Armenia,Sex: Female,2007,41.18
Bosnia and Herzegovina,Sex: Total,2023,41.39
Bosnia and Herzegovina,Sex: Male,2023,41.51
Bosnia and Herzegovina,Sex: Female,2023,41.2
Bosnia and Herzegovina,Sex: Total,2022,41.68
Bosnia and Herzegovina,Sex: Male,2022,41.82
Bosnia and Herzegovina,Sex: Female,2022,41.45
Bosnia and Herzegovina,Sex: Total,2021,42.17
Bosnia and Herzegovina,Sex: Male,2021,42.54
Bosnia and Herzegovina,Sex: Female,2021,41.54
Bosnia and Herzegovina,Sex: Total,2020,40.93
Bosnia and Herzegovina,Sex: Male,2020,41.26
Bosnia and Herzegovina,Sex: Female,2020,40.39
Bosnia and Herzegovina,Sex: Total,2019,42.45
Bosnia and Herzegovina,Sex: Male,2019,42.8
Bosnia and Herzegovina,Sex: Female,2019,41.87
Bosnia and Herzegovina,Sex: Total,2018,41.92
Bosnia and Herzegovina,Sex: Male,2018,42.61
Bosnia and Herzegovina,Sex: Female,2018,40.77
Bosnia and Herzegovina,Sex: Total,2017,41.9
Bosnia and Herzegovina,Sex: Male,2017,42.22
Bosnia and Herzegovina,Sex: Female,2017,41.37
Bosnia and Herzegovina,Sex: Total,2016,42.53
Bosnia and Herzegovina,Sex: Male,2016,43.13
Bosnia and Herzegovina,Sex: Female,2016,41.49
Bosnia and Herzegovina,Sex: Total,2015,41.88
Bosnia and Herzegovina,Sex: Male,2015,42.6
Bosnia and Herzegovina,Sex: Female,2015,40.71
Bosnia and Herzegovina,Sex: Total,2014,42.2
Bosnia and Herzegovina,Sex: Male,2014,42.53
Bosnia and Herzegovina,Sex: Female,2014,41.64
Bosnia and Herzegovina,Sex: Total,2013,42.47
Bosnia and Herzegovina,Sex: Male,2013,42.93
Bosnia and Herzegovina,Sex: Female,2013,41.71
Bosnia and Herzegovina,Sex: Total,2012,42.14
Bosnia and Herzegovina,Sex: Male,2012,42.53
Bosnia and Herzegovina,Sex: Female,2012,41.47
Bosnia and Herzegovina,Sex: Total,2011,42.14
Bosnia and Herzegovina,Sex: Male,2011,42.64
Bosnia and Herzegovina,Sex: Female,2011,41.27
Bosnia and Herzegovina,Sex: Total,2010,42.5
Bosnia and Herzegovina,Sex: Male,2010,42.92
Bosnia and Herzegovina,Sex: Female,2010,41.76
Bosnia and Herzegovina,Sex: Total,2009,42.77
Bosnia and Herzegovina,Sex: Male,2009,43.52
Bosnia and Herzegovina,Sex: Female,2009,41.4
Bosnia and Herzegovina,Sex: Total,2008,43.19
Bosnia and Herzegovina,Sex: Male,2008,44.14
Bosnia and Herzegovina,Sex: Female,2008,41.43
Bosnia and Herzegovina,Sex: Total,2007,42.68
Bosnia and Herzegovina,Sex: Male,2007,43.32
Bosnia and Herzegovina,Sex: Female,2007,41.45
Bosnia and Herzegovina,Sex: Total,2006,42.44
Bosnia and Herzegovina,Sex: Male,2006,43.22
Bosnia and Herzegovina,Sex: Female,2006,40.98
Bosnia and Herzegovina,Sex: Total,2001,43.38
Bosnia and Herzegovina,Sex: Male,2001,44.32
Bosnia and Herzegovina,Sex: Female,2001,41.47
Belarus,Sex: Total,2023,39.18
Belarus,Sex: Male,2023,39.94
Belarus,Sex: Female,2023,38.38
Belarus,Sex: Total,2022,39.14
Belarus,Sex: Male,2022,39.9
Belarus,Sex: Female,2022,38.34
Belarus,Sex: Total,2021,39.23
Belarus,Sex: Male,2021,39.91
Belarus,Sex: Female,2021,38.51
Belarus,Sex: Total,2020,39.16
Belarus,Sex: Male,2020,39.85
Belarus,Sex: Female,2020,38.41
Belarus,Sex: Total,2019,39.24
Belarus,Sex: Male,2019,40.01
Belarus,Sex: Female,2019,38.38
Belarus,Sex: Total,2018,39.39
Belarus,Sex: Male,2018,40.08
Belarus,Sex: Female,2018,38.62
Belarus,Sex: Total,2017,39.3
Belarus,Sex: Male,2017,39.99
Belarus,Sex: Female,2017,38.54
Belarus,Sex: Total,2016,39.09
Belarus,Sex: Male,2016,39.78
Belarus,Sex: Female,2016,38.35
Botswana,Sex: Total,2023,45.15
Botswana,Sex: Male,2023,48.95
Botswana,Sex: Female,2023,41.45
Botswana,Sex: Total,2022,45.72
Botswana,Sex: Male,2022,49.03
Botswana,Sex: Female,2022,42.36
Botswana,Sex: Total,2021,46.16
Botswana,Sex: Male,2021,49.54
Botswana,Sex: Female,2021,43.22
Botswana,Sex: Total,2020,45.63
Botswana,Sex: Male,2020,49.03
Botswana,Sex: Female,2020,42.48
Botswana,Sex: Total,2019,45.81
Botswana,Sex: Male,2019,49.21
Botswana,Sex: Female,2019,42.66
Botswana,Sex: Total,2006,48.32
Botswana,Sex: Male,2006,50.31
Botswana,Sex: Female,2006,46.0
Botswana,Sex: Total,1996,46.37
Botswana,Sex: Male,1996,47.75
Botswana,Sex: Female,1996,44.62
Honduras,Sex: Total,2023,44.85
Honduras,Sex: Male,2023,45.93
Honduras,Sex: Female,2023,42.57
Honduras,Sex: Total,2022,44.89
Honduras,Sex: Male,2022,46.39
Honduras,Sex: Female,2022,41.86
Honduras,Sex: Total,2021,45.33
Honduras,Sex: Male,2021,47.0
Honduras,Sex: Female,2021,42.31
Honduras,Sex: Total,2020,43.19
Honduras,Sex: Male,2020,45.51
Honduras,Sex: Female,2020,39.02
Honduras,Sex: Total,2019,45.45
Honduras,Sex: Male,2019,46.32
Honduras,Sex: Female,2019,43.76
Honduras,Sex: Total,2018,45.72
Honduras,Sex: Male,2018,46.39
Honduras,Sex: Female,2018,44.4
Honduras,Sex: Total,2017,45.11
Honduras,Sex: Male,2017,45.54
Honduras,Sex: Female,2017,44.25
Honduras,Sex: Total,2016,45.87
Honduras,Sex: Male,2016,46.42
Honduras,Sex: Female,2016,44.85
Honduras,Sex: Total,2015,44.46
Honduras,Sex: Male,2015,44.66
Honduras,Sex: Female,2015,44.1
Honduras,Sex: Total,2014,45.08
Honduras,Sex: Male,2014,45.1
Honduras,Sex: Female,2014,45.06
Honduras,Sex: Total,2013,44.08
Honduras,Sex: Male,2013,44.2
Honduras,Sex: Female,2013,43.85
Honduras,Sex: Total,2012,44.92
Honduras,Sex: Male,2012,45.39
Honduras,Sex: Female,2012,44.02
Honduras,Sex: Total,2011,43.95
Honduras,Sex: Male,2011,44.37
Honduras,Sex: Female,2011,43.15
Honduras,Sex: Total,2010,42.83
Honduras,Sex: Male,2010,43.02
Honduras,Sex: Female,2010,42.47
Honduras,Sex: Total,2009,42.69
Honduras,Sex: Male,2009,42.84
Honduras,Sex: Female,2009,42.38
Honduras,Sex: Total,2008,44.34
Honduras,Sex: Male,2008,44.79
Honduras,Sex: Female,2008,43.51
Honduras,Sex: Total,2007,45.22
Honduras,Sex: Male,2007,45.67
Honduras,Sex: Female,2007,44.33
Honduras,Sex: Total,2006,45.78
Honduras,Sex: Male,2006,46.17
Honduras,Sex: Female,2006,45.05
Honduras,Sex: Total,2005,45.44
Honduras,Sex: Male,2005,45.92
Honduras,Sex: Female,2005,44.5
Jordan,Sex: Total,2023,49.24
Jordan,Sex: Male,2023,49.54
Jordan,Sex: Female,2023,47.9
